stock_name,n_traded_days,net_pnl,gross_pnl,cost_pnl,slippage_fut1,slippage_fut2,total_lots_traded,total_volume,max_delta_qty,max_gross_qty,drawdown,market_perc
LAURUSLABS,28,460565.17724999983,696914.9999999998,236349.82274999996,78566.60500000011,78999.94349999994,1328.0,1575665485.0,0.0,3400.0,0.0,4.2866946549953224e-05
SRF,28,395573.3315625015,576468.7500000013,180895.4184374998,60156.93937499997,60440.00625,1084.0,1205969456.25,0.0,750.0,3237.046875000058,3.499079070794375e-05
LTF,28,328838.6443489994,441961.0999999994,113122.45565099998,37763.26244800004,37651.70798599999,876.0,754149704.3400003,0.0,8924.0,3341.4200129999663,2.8276690645902883e-05
SUPREMEIND,28,282785.834999999,352462.499999999,69676.66500000005,23172.113750000008,23278.996249999993,920.0,464511100.0,0.0,250.0,135.21249999993597,2.9696981043642297e-05
LTIM,28,280877.38612499903,415582.4999999992,134705.11387500013,44829.79425000002,44973.61499999993,1200.0,898034092.5,0.0,300.0,1083.8444999999192,3.8735192665620384e-05
SYNGENE,28,243957.3675000015,329550.0000000015,85592.63249999999,28462.975000000002,28598.780000000002,836.0,570617550.0,0.0,2000.0,3029.3749999999127,2.6985517557048867e-05
LODHA,28,238824.51637500018,315517.5000000002,76692.98362500001,25564.88700000002,25563.768749999974,876.0,511286557.5,0.0,900.0,2498.458499999979,2.8276690645902883e-05
LUPIN,28,227907.43149999966,392657.4999999998,164750.06850000017,54782.353375000035,55051.02562500002,1300.0,1098333790.0,0.0,850.0,1275.0584375000035,4.196312538775542e-05
GODREJCP,28,202090.137499999,296299.99999999895,94209.86249999996,31339.44249999999,31467.132500000007,1064.0,628065750.0,0.0,1000.0,0.0,3.4345204163516745e-05
LICHSGFIN,28,198606.09249999965,320649.99999999965,122043.9075,40600.530000000035,40762.07500000004,1388.0,813626050.0,0.0,2000.0,0.0,4.480370618323425e-05
SBICARD,28,188072.86000000115,280720.0000000012,92647.14000000009,30903.20000000001,30861.55999999999,876.0,617647600.0,0.0,1600.0,3922.6359999999813,2.8276690645902883e-05
GLENMARK,28,187926.804812501,275031.250000001,87104.4451875,28958.774000000012,29110.856125000013,1048.0,580696301.25,0.0,650.0,2124.656625000018,3.3828734927975134e-05
SAIL,28,175748.98400000017,262160.0000000002,86411.016,28735.02400000003,28872.319999999996,1164.0,576073440.0,0.0,8000.0,0.0,3.7573136885651774e-05
GODREJPROP,28,164822.2531875005,264386.2500000005,99563.99681250003,33091.27874999999,33284.71912499994,1364.0,663759978.75,0.0,450.0,98.91281249999884,4.402900232992184e-05
SHRIRAMFIN,28,163967.53687500051,257812.50000000035,93844.96312499985,31204.672499999993,31358.636250000018,1296.0,625633087.5,0.0,1500.0,3157.8093750000407,4.183400807887002e-05
GRASIM,28,163819.69625000085,291275.00000000105,127455.30375000018,42373.90375000001,42596.29874999998,1272.0,849702025.0,0.0,500.0,0.0,4.105930422555761e-05
GMRAIRPORT,28,157940.77218750026,247331.25000000017,89390.47781249993,29710.99687499999,29882.65499999997,1280.0,595936518.75,0.0,11250.0,132.34218750009313,4.1317538843328414e-05
SBILIFE,28,154955.0324999991,270637.49999999907,115682.46749999997,38453.323124999995,38668.32187500004,1204.0,771216450.0,0.0,750.0,3.800624999945285,3.8864309974505786e-05
SONACOMS,27,150593.78012499967,195609.99999999974,45016.21987500007,15065.608624999997,14945.204625000011,808.0,300108132.5,0.0,1550.0,1953.414625000034,2.608169639485106e-05
LICI,28,143622.14300000033,227930.00000000012,84307.85699999979,28073.311250000024,28131.926749999977,1140.0,562052380.0,0.0,1150.0,1170.817875000008,3.6798433032339366e-05
GAIL,28,129123.75212499883,220124.49999999878,91000.74787499994,30263.41515000002,30403.7501,1416.0,606671652.5,0.0,4700.0,1130.889325000011,4.570752734543205e-05
360ONE,9,94166.92249999955,124099.99999999956,29933.07750000001,9954.770000000006,10000.614999999998,366.0,199553850.0,0.0,1000.0,223.37000000008265,1.1814233763014218e-05
SUNPHARMA,28,91359.19624999953,213184.9999999996,121825.80375000006,40500.075000000004,40717.127499999995,1370.0,812172025.0,0.0,700.0,315.69474999995145,4.422267829324994e-05
SIEMENS,28,81092.52768749959,132191.2499999996,51098.7223125,16987.819874999997,17077.99500000002,1192.0,340658148.75,0.0,150.0,612.8317500000194,3.8476958047849585e-05
LT,28,35921.010000000126,145020.00000000012,109098.98999999999,36289.11224999999,36443.54775,1388.0,727326600.0,0.0,300.0,915.7642499999383,4.480370618323425e-05
SUZLON,5,28269.227999999915,48719.999999999905,20450.77199999999,6799.552000000002,6834.296000000001,284.0,136338480.0,0.0,16000.0,0.0,9.16732893086349e-06
SBIN,28,3631.130625002508,130237.50000000246,126606.36937499995,42087.66749999998,42316.578749999986,1420.0,844042462.5,0.0,1500.0,7876.963124999298,4.5836644654317456e-05
SOLARINDS,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHREECEM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
